BTNum	Lemma	POS	Forms
2393	a-styrian	Verb	a-styrian
23930	notere	Noun	notere
23931	no+t	Noun	no+t
23934	notian	Verb	notian
23935	notu	Noun	notu
23936	not-writere	Noun	not-writere
23938	nu	Adverb, Conjunction, Interjection	nu
23939	-nugan	Verb, Suffix	-nugan
2394	a-styrred	Adjective	a-styrred
23940	-numa	Suffix	-numa
23941	Numantie	Noun	Numantie
23942	Numentisc	Adjective	Numentisc
23943	nume-stan	Noun	nume-stan
23944	Nume+de	Noun	Nume+de
23945	numol	Adjective	numol;scearp-numol
23946	nuna	Adverb	nuna
23947	nunne	Noun	nunne
23948	nunn-hired	Noun	nunn-hired
2395	a-styrung	Noun	a-styrung
23950	nunn-scrud	Noun	nunn-scrud
23951	nyd	Noun, Adverb	nyd
23952	nyhtness	Noun	nyhtness
23953	nyllan	Verb	nillan;nyllan
23954	nymne	Adverb	nymne
23955	nytan	Verb	nast;nat;nytan
23956	nyten	Adjective	nyten
23958	nytenness	Noun	nytenness
23959	nyt-lic	Adjective	nyt-lic
23960	nytlicness	Noun	nytlicness
23961	nytness	Noun	nytness
23962	nyt	Noun	nyt
23963	nyt&lt;etym&gt;[t	Adjective	nyt&lt;etym&gt;[t
23965	nyttian	Verb	nyttian
23966	nyttol	Adjective	nyttol
23967	nyttung	Noun	nyttung
23968	nyt-weor+d	Adjective	nyt-weor+d
23969	nytweor+d-lic	Adjective	nytweor+d-lic
2397	a-sucan	Verb	a-sucan;a-sugan
23970	nytweor+d-lice	Adverb	nytweor+d-lice
23971	nytweor+t-ness	Noun	nytweor+t-ness
23972	nywol	Adjective, Adverb	nywol
23973	O	Adverb	O
23975	ob	Noun, Adverb, Preposition	ob
23976	oc	Noun, Conjunction	oc
23977	oden	Noun	oden
23978	of	Adverb, Preposition	of
23979	of-	Prefix	of-
2398	a-sudon	Verb	a-sudon
23981	of-axian	Verb	of-axian
23982	of-beatan	Verb	of-beatan
23983	of-blindian	Verb	of-blindian
23985	of-brytsig	Adjective	of-brytsig
23986	of-calen	Adjective	of-calen;calan
23987	of-clipian	Verb	of-clipian
23988	of-cumende	Adjective	of-cumende
23989	of-cyrf	Noun	of-cyrf
2399	a-sugan	Verb	a-sugan
23990	of-d+al	Adjective	of-d+al
23991	of-d+ale	Noun	of-d+ale
23992	of-dr+ad	Adjective	of-dr+ad
23993	of-dune	Adverb	of-dune
23994	of-earmian	Verb	of-earmian
23995	of-earmung	Noun	of-earmung
23996	ofen	Noun	ofen;ofn
23997	ofen-bacen	Adjective	ofen-bacen
23998	ofen-raca	Noun	ofen-raca
24	abbad-had	Noun	abbad-had
2400	asundran	Adverb	asundran
24000	ofer	Preposition	ofer;ofer-bord;ofer-sceotan
24001	ofer	Noun	ofer
24002	ofer-+at	Noun	ofer-+at
24003	ofer-+ate	Adjective	ofer-+ate
24004	ofer-b+ac	Noun	ofer-b+ac
24005	oferb+ac-geteung	Noun	oferb+ac-geteung
24006	ofer-bebeodan	Verb	ofer-bebeodan;be-beodan
24007	ofer-becuman	Verb	ofer-becuman
24008	ofer-bidan	Verb	ofer-bidan
24009	ofer-biterness	Noun	ofer-biterness
2401	a-sundrian	Verb	a-sundrian
24010	ofer-blice	Noun	ofer-blice
24011	ofer-bli+de	Adjective	ofer-bli+de
24013	ofer-br+adan	Verb	ofer-br+adan;of-br+aded
24014	ofer-br+adels	Noun	of-br+adels;ofer-br+adels;br+adels
24015	ofer-br+aw	Noun	ofer-br+aw
24016	ofer-brecan	Verb	ofer-brecan
24017	ofer-bregdan	Verb	ofer-bregdan
24018	ofer-bru	Noun	ofer-bru
24019	ofer-brycgian	Verb	ofer-brycgian
2402	a-sungen	Verb	a-sungen
24020	ofer-bugan	Verb	ofer-bugan;bugan
24021	ofer-c+afed	Adjective	ofer-c+afed
24022	ofer-ceald	Adjective	ofer-ceald
24023	ofer-cidan	Verb	ofer-cidan
24024	ofer-cirr	Noun	ofer-cirr
24025	ofer-climban	Verb	ofer-climban
24026	ofer-cr+aft	Noun	ofer-cr+aft
24027	ofer-cuman	Verb	ofer-cuman
24028	ofer-cyme	Noun	ofer-cyme
24029	ofer-cy+dan	Verb	ofer-cy+dan
2403	a-suond	Verb	a-suond
24030	ofer-don	Verb	ofer-don
24031	ofer-drenc	Noun	ofer-drenc
24032	ofer-drencan	Verb	ofer-drencan
24033	ofer-drettan	Verb	ofer-drettan;drettan
24034	ofer-drifan	Verb	ofer-drifan
24036	ofer-drincan	Verb	ofer-drincan
24037	ofer-druncen	Noun	ofer-druncen
24038	ofer-druncenness	Noun	ofer-druncenness
24039	ofer-drync	Noun	ofer-drinc;ofer-drync
2404	a-surian	Verb	a-surian
24040	ofer-dyre	Noun	ofer-dyre
24041	ofere	Adverb	ofere
24042	ofer-eaca	Noun	ofer-eaca
24043	ofer-eald	Adjective	ofer-eald
24044	ofer-ealdormann	Noun	ofer-ealdormann
24046	ofer-etol	Adjective	ofer-etol
24047	ofer-etolness	Noun	ofer-etolness;etol-ness
24048	ofer-f+ar	Noun	ofer-f+ar
24049	ofer-f+areld	Noun	ofer-f+areld
2405	a-sw+aman	Verb	a-sw+aman
24050	ofer-f+a+dman	Verb	ofer-f+a+dman
24051	ofer-f+att	Adjective	ofer-f+att
24052	ofer-faran	Verb	ofer-faran
24053	ofer-feallan	Verb	ofer-feallan
24054	ofer-feng	Noun	ofer-feng
24055	ofer-feohtan	Verb	ofer-feohtan
24056	ofer-feran	Verb	ofer-feran
24058	ofer-ferness	Noun	ofer-ferness
24059	ofer-firr	Noun	ofer-firr;firr
24060	ofer-fledan	Verb	ofer-fledan;fledan
24061	ofer-flede	Adjective	ofer-flede
24062	ofer-fleon	Verb	ofer-fleon
24063	ofer-flitan	Verb	ofer-flitan
24064	ofer-flowan	Verb	ofer-flowan
24065	ofer-flowend	Adjective	ofer-flowend
24066	ofer-flowendlice	Adverb	ofer-flowendlice
24068	ofer-flowness	Noun	ofer-flowness
24069	ofer-fon	Verb	ofer-fon
2407	a-sw+arnung	Noun	a-sw+arnung
24070	ofer-froren	Adjective	ofer-froren
24071	ofer-full	Adjective	ofer-full
24072	ofer-fylgan	Verb	ofer-fylgan
24073	ofer-fyll	Noun	ofer-fyll
24074	ofer-fyllan	Verb	ofer-fyllan
24075	ofer-g+agan	Verb	ofer-g+agan
24076	ofer-g+agedness	Noun	ofer-g+agedness
24077	ofer-gan	Verb	ofer-eode;ofer-gan
24078	ofer-gangan	Verb	ofer-gangan
24079	ofer-gapian	Verb	ofer-gapian
2408	a-swaf	Verb	a-swaf
24080	ofer-geare	Adjective	ofer-geare
24081	ofer-geatu	Noun	ofer-geatu
24082	ofer-gedrync	Noun	ofer-gedrync
24083	ofer-gedyre	Noun	ofer-gedyre
24084	ofer-gemet	Noun, Adjective	ofer-gemet
24085	ofer-genga	Noun	ofer-genga
24086	ofer-geong	Noun	ofer-geong
24087	ofer-geotan	Verb	ofer-geotan
24088	ofer-geotol	Adjective, Verb	ofer-geotol
24089	ofer-gesett	Adjective	ofer-gesett
2409	a-swamian	Verb	a-swamian
24090	ofer-getimbran	Verb	ofer-getimbran
24091	ofer-geweorc	Noun	ofer-geweorc
24092	ofer-gewrit	Noun	ofer-gewrit
24093	ofer-gifre	Adjective	ofer-gifre
24094	ofer-giman	Verb	ofer-giman
24095	ofer-gimness	Noun	ofer-gimness
24096	ofer-gitan	Verb	ofer-gitan
24097	ofer-gitness	Noun	ofer-gitness;gitness
24098	ofer-gitol	Adjective	ofer-gitol
24099	ofer-gitolian	Verb	ofer-gitolian
241	a-cyrran	Verb	a-cyrran
2410	a-swand	Verb	a-swand
24100	ofer-gitolness	Noun	ofer-gitolness
24101	ofer-glenged	Verb	ofer-glenged
24102	ofer-gr+adig	Adjective	ofer-gr+adig
24103	ofer-gumian	Verb	ofer-gumian
24104	ofer-gyldan	Verb	ofer-gyldan
24105	ofer-gylden	Adjective	ofer-gylden
24107	ofer-habban	Verb	ofer-habban
24108	ofer-hacele	Noun	ofer-hacele
24109	ofer-heafod	Adverb	ofer-heafod
2411	a-swap	Noun	a-swap;+a-swap
24110	ofer-heah	Adjective	ofer-heah
24111	ofer-healdan	Verb	ofer-healdan
24112	ofer-healfheafod	Noun	ofer-healfheafod
24113	ofer-hebban	Verb	ofer-hebban
24114	ofer-helian	Verb	ofer-helian
24115	ofer-helmian	Verb	ofer-helmian
24116	ofer-heortness	Noun	ofer-heortness
24117	ofer-hergian	Verb	ofer-hergian
24118	ofer-hidig	Noun, Adjective	ofer-hidig
24119	ofer-higian	Verb	ofer-higian
2412	a-swapan	Verb	a-swapan;a-swap
24120	ofer-hiran	Verb	ofer-hiran
24121	ofer-hire	Adjective	hyre;ofer-hire
24122	ofer-hirness	Noun	ofer-hirness
24123	ofer-hl+astan	Verb	hl+astan;ofer-hl+astan
24124	ofer-hleapan	Verb	ofer-hleapan
24125	ofer-hleapend	Noun	ofer-hleapend;hleapend
24126	ofer-hleo+dor	Adjective	ofer-hleo+dor
24127	ofer-hleo+drian	Verb	ofer-hleo+drian
24128	ofer-hlifian	Verb	ofer-hlifian
24129	ofer-hlifung	Noun	ofer-hlifung;hlifung
2413	a-swarcan	Verb	a-swarcan
24130	ofer-hlud	Adjective	ofer-hlud
24131	ofer-hlyde	Adjective	ofer-hlyde
24132	ofer-hlyp	Noun	ofer-hlyp
24133	ofer-hlyttrian	Verb	ofer-hlyttrian
24134	ofer-hoga	Noun	ofer-hoga
24135	ofer-hogian	Verb	ofer-hogian
24136	ofer-hogiend	Noun	ofer-hogiend
24137	ofer-holt	Noun	ofer-holt
24138	ofer-hragan	Verb	hragan;ofer-hragan
24139	ofer-hrefan	Verb	ofer-hrefan
2414	a-swarcian	Verb	a-swarcian
24140	ofer-hreran	Verb	ofer-hreran
24141	ofer-hrops	Noun	ofer-hrops
24142	ofer-hryfan	Verb	ofer-hryfan
24143	ofer-hycgan	Verb	ofer-hycgan
24144	ofer-hyd	Noun	ofer-hyd
24145	ofer-hygd	Noun	ofer-hygd
24146	ofer-hygd	Adjective	ofer-hygd
24147	ofer-hygdig	Noun	ofer-hygdig
24148	ofer-hygdig	Adjective	ofer-hygdig
24149	ofer-hygdigian	Verb	ofer-hygdigian
2415	a-swarnian	Verb	a-swarnian
24150	ofer-hyge	Noun	ofer-hyge;hyge
24151	ofer-hylmend	Noun	ofer-hylmend
24152	ofer-hyran	Noun, Adjective, Verb	ofer-hyran
24153	ofer-hyrned	Adjective	ofer-hyrned
24154	oferian	Verb	oferian
24155	ofer-ild	Noun	ofer-ild
24156	ofering	Noun	ofering
24157	ofer-irnan	Verb	ofer-irnan
24158	ofer-lad	Noun	ofer-lad
24159	ofer-l+adan	Verb	ofer-l+adan
2416	a-swarnung	Noun	a-swarnung
24160	ofer-l+ag	Noun	ofer-l+ag
24161	ofer-leof	Adjective	ofer-leof
24162	ofer-leoran	Verb	ofer-leoran
24163	ofer-leorness	Noun	ofer-leorness
24164	ofer-libban	Verb	ofer-libban
24165	oferlice	Adjective, Adverb	oferlice
24166	ofer-lihtan	Verb	ofer-lihtan
24167	ofer-li+dan	Verb	ofer-li+dan
24168	ofer-lufu	Noun	ofer-lufu
24169	ofer-m+acga	Noun	ofer-m+acga
2417	a-swearc	Verb	a-swearc
